BookId,AuthorId
1,1
2,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
13,15
13,16
14,17
15,18
15,19
15,20
16,21
16,22
17,23
18,24
18,25
18,26
19,27
20,28
21,29
21,30
22,31
23,32
23,33
24,34
24,35
25,36
25,37
26,38
27,39
27,40
28,41
29,42
29,43
30,44
31,45
32,46
33,47
34,48
35,49
35,50
36,51
37,52
38,53
39,54
40,55
41,56
42,57
43,58
43,59
44,60
45,61
46,62
47,63
48,64
49,65
50,66
51,67
52,68
53,69
54,70
55,71
56,72
57,73
58,74
58,75
58,76
59,77
59,78
59,79
60,80
61,81
62,82
63,83
63,84
64,85
65,86
66,87
67,88
68,89
69,90
70,91
71,92
71,93
71,94
72,95
73,96
74,97
75,98
76,99
76,100
76,101
77,102
77,103
78,104
79,105
79,106
79,107
79,108
79,109
80,110
80,111
80,112
80,113
81,114
82,115
83,116
83,117
83,118
84,119
85,120
86,121
87,122
87,123
88,124
89,125
90,126
91,127
92,128
92,129
93,130
94,131
94,132
95,133
95,134
96,135
97,136
97,137
97,138
98,139
98,140
99,141
100,142
101,143
102,144
103,145
103,146
104,147
105,148
106,149
107,150
108,151
109,152
109,153
109,154
110,155
111,156
112,157
113,158
114,159
114,160
115,161
116,162
116,163
116,164
117,165
118,166
119,167
120,168
121,169
121,170
122,171
122,172
123,173
124,174
125,175
125,176
125,177
126,178
127,179
128,180
129,181
130,182
131,183
132,184
133,185
134,186
135,187
136,188
137,189
138,190
138,191
138,192
139,193
140,194
140,195
141,196
142,197
143,198
144,199
145,200
146,201
147,202
148,203
149,204
150,205
151,206
152,207
153,208
154,209
155,210
156,211
157,212
157,213
158,214
158,215
159,216
160,217
161,218
162,219
162,220
163,221
164,222
165,223
166,224
167,225
168,226
168,227
169,228
170,229
171,230
171,231
172,232
172,233
172,234
172,235
173,236
174,237
175,238
176,239
177,240
177,241
178,242
179,243
180,244
180,245
181,246
182,247
182,248
183,249
184,250
184,251
185,252
186,253
187,254
188,255
189,256
190,257
191,258
191,259
191,260
192,261
193,262
194,263
194,264
194,265
195,266
195,267
196,268
197,269
198,270
199,271
200,272
201,273
202,274
203,275
204,276
205,277
206,278
207,279
208,280
209,281
210,282
211,283
212,284
213,285
213,286
214,287
215,288
216,289
217,290
217,291
218,292
219,293
219,294
220,295
221,296
222,297
223,298
224,299
225,300
226,301
227,302
228,303
228,304
229,305
229,306
229,307
230,308
230,309
230,310
231,311
232,312
233,313
233,314
234,315
235,316
236,317
237,318
238,319
239,320
240,321
241,322
242,323
243,324
244,325
245,326
246,327
246,328
247,329
248,330
248,331
248,332
248,333
249,334
250,335
251,336
252,337
253,338
253,339
254,340
255,341
255,342
256,343
256,344
257,345
257,346
257,347
258,348
258,349
259,350
260,351
261,352
262,353
263,354
264,355
265,356
266,357
267,358
268,359
269,360
270,361
270,362
271,363
272,364
272,365
272,366
273,367
274,368
274,369
274,370
275,371
276,372
277,373
278,374
279,375
279,376
279,377
280,378
281,379
282,380
283,381
283,382
284,383
285,384
286,385
287,386
287,387
288,388
289,389
290,390
291,391
292,392
292,393
293,394
294,395
295,396
296,397
297,398
298,399
298,400
298,401
299,402
299,403
300,404
301,405
302,406
303,407
304,408
305,409
306,410
307,411
308,412
309,413
310,414
311,415
312,416
312,417
313,418
314,419
314,420
315,421
315,422
316,423
317,424
318,425
319,426
320,427
321,428
322,429
323,430
323,431
324,432
325,433
326,434
327,435
328,436
329,437
329,438
330,439
331,440
332,441
333,442
334,443
335,444
335,445
336,446
337,447
338,448
339,449
339,450
340,451
341,452
341,453
341,454
341,455
342,456
343,457
344,458
345,459
346,460
346,461
347,462
348,463
349,464
350,465
350,466
351,467
352,468
353,469
354,470
355,471
356,472
356,473
357,474
357,475
358,476
359,477
360,478
360,479
361,480
361,481
361,482
362,483
363,484
364,485
365,486
365,487
366,488
367,489
368,490
369,491
370,492
371,493
372,494
373,495
373,496
374,497
375,498
376,499
377,500
378,501
379,502
380,503
380,504
381,505
382,506
382,507
383,508
384,509
385,510
386,511
387,512
387,513
388,514
389,515
390,516
390,517
390,518
390,519
391,520
392,521
393,522
394,523
395,524
396,525
397,526
397,527
398,528
399,529
400,530
401,531
402,532
403,533
403,534
404,535
405,536
406,537
407,538
408,539
409,540
410,541
411,542
412,543
413,544
414,545
415,546
416,547
416,548
417,549
418,550
419,551
420,552
421,553
422,554
423,555
424,556
424,557
424,558
425,559
425,560
426,561
426,562
427,563
